"6.8W_WT-6.8W_HET":"3"
"12M_WT-12M_HET":"2"
"18M_WT-18M_HET":"135"
"24M_WT-24M_HET":"261"
"12M_HET-6.8W_HET":"539"
"18M_HET-12M_HET":"178"
"24M_HET-18M_HET":"644"
"12M_WT-6.8W_WT":"1116"
"18M_WT-12M_WT":"16"
"24M_WT-18M_WT":"152"
"24M_HET-6.8W_HET":"2737"
"24M_WT-6.8W_WT":"2260"
"All found genes":"4481"
"":""
"Main-effect genotype (ALL)":"2"
"Main-effect age (ALL)":"1623"
"Main-effect genotype (olderMice)":"2"
"Main-effect age (olderMice)":"95"
"Interaction (olderMice)":"8"
"Main-effect genotype (youngerMice)":"3"
"Main-effect age (youngerMice)":"1111"
