"2M_WT-2M_HET":"8"
"6M_WT-6M_HET":"2"
"18M_WT-18M_HET":"189"
"24M_WT-24M_HET":"422"
"6M_HET-2W_HET":"731"
"18M_HET-6M_HET":"280"
"24M_HET-18M_HET":"858"
"6M_WT-2W_WT":"1277"
"18M_WT-6M_WT":"50"
"24M_WT-18M_WT":"398"
"24M_HET-2M_HET":"3068"
"24M_WT-2M_WT":"2514"
"All found genes":"5208"
"":""
"Main-effect genotype (ALL)":"25"
"Main-effect age (ALL)":"1813"
"Interaction (ALL)":"248"
"Main-effect genotype (olderMice)":"4"
"Main-effect age (olderMice)":"250"
"Interaction (olderMice)":"48"
"Main-effect genotype (youngerMice)":"3"
"Main-effect age (youngerMice)":"1277"
"Interaction (youngerMice)":"2"
