"6.8W_WT-6.8W_HET":"18"
"12M_WT-12M_HET":"2"
"18M_WT-18M_HET":"123"
"24M_WT-24M_HET":"298"
"12M_HET-6.8W_HET":"548"
"18M_HET-12M_HET":"167"
"24M_HET-18M_HET":"625"
"12M_WT-6.8W_WT":"1054"
"18M_WT-12M_WT":"34"
"24M_WT-18M_WT":"214"
"24M_HET-6.8W_HET":"1984"
"24M_WT-6.8W_WT":"2385"
"All found genes":"4003"
"":""
"Main-effect genotype (ALL)":"18"
"Main-effect age (ALL)":"2544"
"Main-effect genotype (olderMice)":"2"
"Main-effect age (olderMice)":"223"
"Interaction (olderMice)":"41"
"Main-effect genotype (youngerMice)":"14"
"Main-effect age (youngerMice)":"967"
